source,target,weight
ASV100,ASV109,0.8385172683306189
ASV100,ASV110,0.7269308362796948
ASV100,ASV113,0.9666161640527221
ASV100,ASV115,0.7937368442854208
ASV100,ASV116,0.8576587149294337
ASV100,ASV14,0.8819875002460683
ASV100,ASV19,0.9445751240264108
ASV100,ASV20,0.6734324181010266
ASV100,ASV21,0.8552306729834817
ASV100,ASV22,0.8858591203775561
ASV100,ASV239,-0.9149056611431926
ASV100,ASV28,0.9181071819246467
ASV100,ASV29,0.6976356109063355
ASV100,ASV2913,0.9271165929666303
ASV100,ASV36,-0.61144071741184
ASV100,ASV37,0.7947793222192261
ASV100,ASV388,0.7194288937789757
ASV100,ASV390,0.9304955576335884
ASV100,ASV42,0.9013038117884872
ASV100,ASV43,0.7528346062711644
ASV100,ASV442,0.9271165929666303
ASV100,ASV45,0.9286114115703779
ASV100,ASV49,0.6876788208251078
ASV100,ASV50,-0.9248857559558077
ASV100,ASV52,0.9112606745001
ASV100,ASV53,0.8699475638685276
ASV100,ASV54,0.8744429196313093
ASV100,ASV57,0.6066601647416606
ASV100,ASV59,0.9311204628081649
ASV100,ASV62,0.9061274408499433
ASV100,ASV67,0.8954626213842672
ASV100,ASV68,0.7332884362163696
ASV100,ASV72,0.9364098642464476
ASV100,ASV73,-0.6598353138389946
ASV100,ASV88,0.8713661804949482
ASV100,ASV91,0.9872991732045904
ASV100,ASV92,0.9475715833550147
ASV100,ASV938,0.8762657896097185
ASV100,ASV94,0.9518854124289466
ASV100,ASV96,-0.6353193373954299
ASV100,ASV97,0.862115934289665
ASV103,ASV1117,-0.8733543438707264
ASV103,ASV390,0.6403518697848869
ASV103,ASV74,0.8078848335318665
ASV103,ASV97,0.6177373022924598
ASV103,ASV93,-0.6266271396146526
ASV109,ASV110,0.8878050224309463
ASV109,ASV113,0.8079470451509153
ASV109,ASV115,0.6724502212410313
ASV109,ASV116,0.7000772036442793
ASV109,ASV14,0.9283083517131884
ASV109,ASV19,0.9136532773705968
ASV109,ASV21,0.8079416078788252
ASV109,ASV22,0.7425892915877024
ASV109,ASV239,-0.7562139206830436
ASV109,ASV24,-0.7272098875721411
ASV109,ASV25,-0.7874683062409948
ASV109,ASV28,0.8554442077177663
ASV109,ASV2913,0.8636754169315457
ASV109,ASV36,-0.7867974434687373
ASV109,ASV37,0.7374991790568544
ASV109,ASV39,-0.7565614646200493
ASV109,ASV390,0.9084386468362579
ASV109,ASV42,0.845355916110135
ASV109,ASV43,0.6366589841201922
ASV109,ASV442,0.8636754169315457
ASV109,ASV45,0.9341257522445496
ASV109,ASV49,0.6318482100636654
ASV109,ASV50,-0.7449060773520317
ASV109,ASV52,0.9495728341450096
ASV109,ASV53,0.9627310701396793
ASV109,ASV54,0.7646136510286148
ASV109,ASV59,0.921737941825884
ASV109,ASV62,0.9181020934854742
ASV109,ASV66,-0.7281871948285346
