Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3,Initial
g__unclassified_p__Candidatus_Aminicenantes,0.001874829,0.001761285,0.001516345,0.001765795,0.001833034,0.001266869,0.004497796
g__unclassified_p__Candidatus_Bipolaricaulota,0.000695861,0.000516458,0.000300034,0.000326882,0.000476024,0.000363938,0.00150016
g__unclassified_p__Candidatus_Cloacimonadota,0.001225881,0.001106978,0.000573966,0.000650048,0.001020671,0.000635034,0.001868982
g__unclassified_p__Candidatus_Dadabacteria,0.001537462,0.001895261,0.000868621,0.000916961,0.004175672,0.003489242,0.002948817
g__unclassified_p__Candidatus_Eisenbacteria,0.001739651,0.001413028,0.001141038,0.001292109,0.001481589,0.001103472,0.005355389
g__unclassified_p__Candidatus_Hydrogenedentes,0.003067141,0.00289083,0.000869568,0.00107833,0.002098231,0.001101415,0.003066669
g__unclassified_p__Candidatus_Kapabacteria,0.003549351,0.008353162,0.000331098,0.000274089,0.006951942,0.005687842,0.000955273
g__unclassified_p__Candidatus_Latescibacteria,0.002135991,0.001826771,0.001376254,0.001489528,0.001958912,0.001225229,0.006211473
g__unclassified_p__Candidatus_Marinimicrobia,0.00277258,0.002702434,0.001568359,0.001879283,0.002790319,0.00178167,0.005135958
g__unclassified_p__Candidatus_Omnitrophota,0.003266593,0.002143254,0.00099909,0.001054155,0.0018857,0.00112233,0.004013134
g__unclassified_p__Candidatus_Pacebacteria,0.000541567,0.00176093,0.00028901,0.000280667,0.001388277,0.000575375,0.000710342
g__unclassified_p__Candidatus_Poribacteria,0.00142388,0.001164481,0.000754403,0.000809495,0.001169127,0.000743991,0.003134403
g__unclassified_p__Candidatus_Rokubacteria,0.002830227,0.002250553,0.001283402,0.001481882,0.002127955,0.001386226,0.004523211
g__unclassified_p__Candidatus_Tectomicrobia,0.000704798,0.000556058,0.000356783,0.000403253,0.000548871,0.000407673,0.001521549
g__unclassified_p__Cyanobacteriota,0.000756543,0.000594156,0.000353525,0.00036007,0.000499534,0.00032127,0.001574772
g__Vibrio,0.000599726,0.000604273,0.001465582,0.00169267,0.00070362,0.001320395,0.00059358
g__Vicingus,0.005354175,0.025485559,0.000185059,0.013224518,0.028109387,0.031371287,0.001063772
g__Wenzhouxiangella,0.073178688,0.051853618,0.024133594,0.031875286,0.042100695,0.031689242,0.066780456
g__Winogradskyella,0.00427536,0.004563865,0.001140242,0.000606993,0.004962006,0.00138775,0.000655442
g__Woeseia,0.002342414,0.002010029,0.001721937,0.001879112,0.002021242,0.001536327,0.007263208
g__Xanthomarina,0.027789136,0.026241158,0.005667723,0.001575594,0.032105459,0.005769636,0.001208801
Unclassified,0.047457804,0.04325021,0.029228715,0.028594379,0.043886098,0.03421037,0.065576562
