ASV,Taxonomy
g__Calothrix,g__Calothrix;p__Cyanobacteriota
g__Candidatus_Accumulibacter,g__Candidatus_Accumulibacter;p__Pseudomonadota
g__Candidatus_Acidoferrum,g__Candidatus_Acidoferrum;p__Acidobacteriota
g__Candidatus_Actinomarina,g__Candidatus_Actinomarina;p__Actinomycetota
g__Candidatus_Anammoximicrobium,g__Candidatus_Anammoximicrobium;p__Planctomycetota
g__Candidatus_Brocadia,g__Candidatus_Brocadia;p__Planctomycetota
g__Candidatus_Chloroploca,g__Candidatus_Chloroploca;p__Chloroflexota
g__Candidatus_Competibacter,g__Candidatus_Competibacter;p__Pseudomonadota
g__Candidatus_Contendobacter,g__Candidatus_Contendobacter;p__Pseudomonadota
g__Candidatus_Denitrolinea,g__Candidatus_Denitrolinea;p__Chloroflexota
g__Candidatus_Electrothrix,g__Candidatus_Electrothrix;p__Thermodesulfobacteriota
g__Candidatus_Entotheonella,g__Candidatus_Entotheonella;p__Candidatus_Tectomicrobia
g__Candidatus_Jettenia,g__Candidatus_Jettenia;p__Planctomycetota
g__Candidatus_Kentron,g__Candidatus_Kentron;p__Pseudomonadota
g__Candidatus_Kuenenia,g__Candidatus_Kuenenia;p__Planctomycetota
g__Candidatus_Magnetomorum,g__Candidatus_Magnetomorum;p__Thermodesulfobacteriota
g__Candidatus_Manganitrophus,g__Candidatus_Manganitrophus;p__Nitrospirota
g__Candidatus_Methanoperedens,g__Candidatus_Methanoperedens;p__Euryarchaeota
g__Candidatus_Methylomirabilis,g__Candidatus_Methylomirabilis;p__candidate_division_NC10
g__Candidatus_Microthrix,g__Candidatus_Microthrix;p__Actinomycetota
g__Candidatus_Promineifilum,g__Candidatus_Promineifilum;p__Chloroflexota
g__Candidatus_Reidiella,g__Candidatus_Reidiella;p__Pseudomonadota
g__Candidatus_Roseilinea,g__Candidatus_Roseilinea;p__Chloroflexota
g__Candidatus_Scalindua,g__Candidatus_Scalindua;p__Planctomycetota
g__Candidatus_Solibacter,g__Candidatus_Solibacter;p__Acidobacteriota
g__Candidatus_Sulfopaludibacter,g__Candidatus_Sulfopaludibacter;p__Acidobacteriota
g__Candidatus_Tenderia,g__Candidatus_Tenderia;p__Pseudomonadota
g__Candidatus_Thiodiazotropha,g__Candidatus_Thiodiazotropha;p__Pseudomonadota
g__Candidatus_Thioglobus,g__Candidatus_Thioglobus;p__Pseudomonadota
g__Candidatus_Vecturithrix,g__Candidatus_Vecturithrix;p__Candidatus_Moduliflexota
g__Carboxylicivirga,g__Carboxylicivirga;p__Bacteroidota
g__Carideicomes,g__Carideicomes;
g__Catalinimonas,g__Catalinimonas;p__Bacteroidota
g__Celeribacter,g__Celeribacter;p__Pseudomonadota
g__Cellulomonas,g__Cellulomonas;p__Actinomycetota
g__Cellulophaga,g__Cellulophaga;p__Bacteroidota
g__Cephaloticoccus,g__Cephaloticoccus;p__Verrucomicrobiota
g__Cereibacter,g__Cereibacter;p__Pseudomonadota
g__Chitinophaga,g__Chitinophaga;p__Bacteroidota
g__Chloracidobacterium,g__Chloracidobacterium;p__Acidobacteriota
g__Chlorobium,g__Chlorobium;p__Chlorobiota
g__Chloroflexus,g__Chloroflexus;p__Chloroflexota
g__Chondromyces,g__Chondromyces;p__Myxococcota
g__Christiangramia,g__Christiangramia;p__Bacteroidota
g__Chryseobacterium,g__Chryseobacterium;p__Bacteroidota
g__Chthoniobacter,g__Chthoniobacter;p__Verrucomicrobiota
g__Clostridium,g__Clostridium;p__Bacillota
g__Cochleicola,g__Cochleicola;
g__Cognaticolwellia,g__Cognaticolwellia;p__Pseudomonadota
g__Cognatishimia,g__Cognatishimia;p__Pseudomonadota
g__Coleofasciculus,g__Coleofasciculus;p__Cyanobacteriota
g__Colwellia,g__Colwellia;p__Pseudomonadota
g__Conexibacter,g__Conexibacter;p__Actinomycetota
g__Constantimarinum,g__Constantimarinum;p__Bacteroidota
g__Coraliihabitans,g__Coraliihabitans;p__Pseudomonadota
g__Coraliomargarita,g__Coraliomargarita;p__Verrucomicrobiota
g__Corallococcus,g__Corallococcus;p__Myxococcota
g__Cribrihabitans,g__Cribrihabitans;p__Pseudomonadota
g__Crocinitomix,g__Crocinitomix;p__Bacteroidota
g__Cryomorpha,g__Cryomorpha;p__Bacteroidota
g__Cupriavidus,g__Cupriavidus;p__Pseudomonadota
g__Cyclobacterium,g__Cyclobacterium;p__Bacteroidota
g__Cycloclasticus,g__Cycloclasticus;p__Pseudomonadota
g__Cystobacter,g__Cystobacter;p__Myxococcota
g__Cytophaga,g__Cytophaga;p__Bacteroidota
g__Dechloromonas,g__Dechloromonas;p__Pseudomonadota
g__Defluviicoccus,g__Defluviicoccus;p__Pseudomonadota
g__Defluviimonas,g__Defluviimonas;p__Pseudomonadota
g__Deinococcus,g__Deinococcus;p__Deinococcota
g__Dermatobacter,g__Dermatobacter;p__Actinomycetota
g__Desertimonas,g__Desertimonas;p__Actinomycetota
g__Desulfatitalea,g__Desulfatitalea;p__Thermodesulfobacteriota
g__Desulfobacter,g__Desulfobacter;p__Thermodesulfobacteriota
g__Desulfobacterium,g__Desulfobacterium;p__Thermodesulfobacteriota
g__Desulfobacula,g__Desulfobacula;p__Thermodesulfobacteriota
g__Desulfobulbus,g__Desulfobulbus;p__Thermodesulfobacteriota
g__Desulfocapsa,g__Desulfocapsa;p__Thermodesulfobacteriota
g__Desulfonema,g__Desulfonema;p__Thermodesulfobacteriota
g__Desulfopila,g__Desulfopila;p__Thermodesulfobacteriota
g__Desulforhabdus,g__Desulforhabdus;p__Thermodesulfobacteriota
g__Desulforhopalus,g__Desulforhopalus;p__Thermodesulfobacteriota
g__Desulfosarcina,g__Desulfosarcina;p__Thermodesulfobacteriota
g__Desulfovibrio,g__Desulfovibrio;p__Thermodesulfobacteriota
g__Desulfuromonas,g__Desulfuromonas;p__Thermodesulfobacteriota
g__Devosia,g__Devosia;p__Pseudomonadota
g__Dinoroseobacter,g__Dinoroseobacter;p__Pseudomonadota
g__Dokdonella,g__Dokdonella;p__Pseudomonadota
g__Dokdonia,g__Dokdonia;p__Bacteroidota
g__Draconibacterium,g__Draconibacterium;p__Bacteroidota
g__Dyadobacter,g__Dyadobacter;p__Bacteroidota
g__Echinicola,g__Echinicola;p__Bacteroidota
