ASV,Taxonomy
g__Pseudodonghicola,g__Pseudodonghicola;p__Pseudomonadota
g__Pseudohalocynthiibacter,g__Pseudohalocynthiibacter;p__Pseudomonadota
g__Pseudomaricurvus,g__Pseudomaricurvus;p__Pseudomonadota
g__Pseudomonas,g__Pseudomonas;p__Pseudomonadota
g__Pseudonocardia,g__Pseudonocardia;p__Actinomycetota
g__Pseudooceanicola,g__Pseudooceanicola;p__Pseudomonadota
g__Pseudorhodobacter,g__Pseudorhodobacter;p__Pseudomonadota
g__Pseudorhodoplanes,g__Pseudorhodoplanes;p__Pseudomonadota
g__Pseudoruegeria,g__Pseudoruegeria;p__Pseudomonadota
g__Pseudosulfitobacter,g__Pseudosulfitobacter;p__Pseudomonadota
g__Pseudoxanthomonas,g__Pseudoxanthomonas;p__Pseudomonadota
g__Psychrobacter,g__Psychrobacter;p__Pseudomonadota
g__Psychroflexus,g__Psychroflexus;p__Bacteroidota
g__Psychromarinibacter,g__Psychromarinibacter;p__Pseudomonadota
g__Psychromonas,g__Psychromonas;p__Pseudomonadota
g__Psychroserpens,g__Psychroserpens;p__Bacteroidota
g__Pukyongia,g__Pukyongia;p__Bacteroidota
g__Pukyongiella,g__Pukyongiella;
g__Puniceibacterium,g__Puniceibacterium;p__Pseudomonadota
g__Pusillimonas,g__Pusillimonas;p__Pseudomonadota
g__Pyrinomonas,g__Pyrinomonas;p__Acidobacteriota
g__Pyxidicoccus,g__Pyxidicoccus;p__Myxococcota
g__Ralstonia,g__Ralstonia;p__Pseudomonadota
g__Ramlibacter,g__Ramlibacter;p__Pseudomonadota
g__Rasiella,g__Rasiella;p__Bacteroidota
g__Reichenbachiella,g__Reichenbachiella;p__Bacteroidota
g__Rhabdothermincola,g__Rhabdothermincola;p__Actinomycetota
g__Rheinheimera,g__Rheinheimera;p__Pseudomonadota
g__Rhizobium,g__Rhizobium;p__Pseudomonadota
g__Rhodanobacter,g__Rhodanobacter;p__Pseudomonadota
g__Rhodobacter,g__Rhodobacter;p__Pseudomonadota
g__Rhodocaloribacter,g__Rhodocaloribacter;p__Rhodothermota
g__Rhodococcus,g__Rhodococcus;p__Actinomycetota
g__Rhodocytophaga,g__Rhodocytophaga;p__Bacteroidota
g__Rhodoferax,g__Rhodoferax;p__Pseudomonadota
g__Rhodohalobacter,g__Rhodohalobacter;p__Balneolota
g__Rhodophyticola,g__Rhodophyticola;p__Pseudomonadota
g__Rhodopirellula,g__Rhodopirellula;p__Planctomycetota
g__Rhodosalinus,g__Rhodosalinus;p__Pseudomonadota
g__Rhodospira,g__Rhodospira;p__Pseudomonadota
g__Rhodothermus,g__Rhodothermus;p__Rhodothermota
g__Rhodovulum,g__Rhodovulum;p__Pseudomonadota
g__Robiginitomaculum,g__Robiginitomaculum;p__Pseudomonadota
g__Roseibacillus,g__Roseibacillus;p__Verrucomicrobiota
g__Roseibacterium,g__Roseibacterium;p__Pseudomonadota
g__Roseibium,g__Roseibium;p__Pseudomonadota
g__Roseicyclus,g__Roseicyclus;p__Pseudomonadota
g__Roseiflexus,g__Roseiflexus;p__Chloroflexota
g__Roseimaritima,g__Roseimaritima;p__Planctomycetota
g__Roseivirga,g__Roseivirga;p__Bacteroidota
g__Roseivivax,g__Roseivivax;p__Pseudomonadota
g__Roseobacter,g__Roseobacter;p__Pseudomonadota
g__Roseomonas,g__Roseomonas;p__Pseudomonadota
g__Roseovarius,g__Roseovarius;p__Pseudomonadota
g__Rosistilla,g__Rosistilla;p__Planctomycetota
g__Rubricoccus,g__Rubricoccus;p__Rhodothermota
g__Rubripirellula,g__Rubripirellula;p__Planctomycetota
g__Rubrivirga,g__Rubrivirga;p__Rhodothermota
g__Rubrivivax,g__Rubrivivax;p__Pseudomonadota
g__Rubrobacter,g__Rubrobacter;p__Actinomycetota
g__Ruegeria,g__Ruegeria;p__Pseudomonadota
g__Saccharicrinis,g__Saccharicrinis;p__Bacteroidota
g__Sagittula,g__Sagittula;p__Pseudomonadota
g__Salaquimonas,g__Salaquimonas;p__Pseudomonadota
g__Salegentibacter,g__Salegentibacter;p__Bacteroidota
g__Salibacter,g__Salibacter;p__Bacteroidota
g__Salinibacter,g__Salinibacter;p__Rhodothermota
g__Salinihabitans,g__Salinihabitans;p__Pseudomonadota
g__Salinimicrobium,g__Salinimicrobium;p__Bacteroidota
g__Salinivirga,g__Salinivirga;p__Bacteroidota
g__Salipiger,g__Salipiger;p__Pseudomonadota
g__Salmonella,g__Salmonella;p__Pseudomonadota
g__Salsipaludibacter,g__Salsipaludibacter;p__Actinomycetota
g__Sandaracinus,g__Sandaracinus;p__Myxococcota
g__Sedimenticola,g__Sedimenticola;p__Pseudomonadota
g__Sedimentitalea,g__Sedimentitalea;p__Pseudomonadota
g__Sediminibacterium,g__Sediminibacterium;p__Bacteroidota
g__Sediminimonas,g__Sediminimonas;p__Pseudomonadota
g__Seohaeicola,g__Seohaeicola;p__Pseudomonadota
g__Seonamhaeicola,g__Seonamhaeicola;p__Bacteroidota
g__Shewanella,g__Shewanella;p__Pseudomonadota
g__Shimia,g__Shimia;p__Pseudomonadota
g__Silicimonas,g__Silicimonas;p__Pseudomonadota
g__Singulisphaera,g__Singulisphaera;p__Planctomycetota
g__Sinisalibacter,g__Sinisalibacter;p__Pseudomonadota
g__Sinomicrobium,g__Sinomicrobium;p__Bacteroidota
g__Skermanella,g__Skermanella;p__Pseudomonadota
g__Sneathiella,g__Sneathiella;p__Pseudomonadota
g__Solirubrobacter,g__Solirubrobacter;p__Actinomycetota
g__Sorangium,g__Sorangium;p__Myxococcota
g__Sphaerobacter,g__Sphaerobacter;p__Thermomicrobiota
g__Sphaerochaeta,g__Sphaerochaeta;p__Spirochaetota
g__Sphingobacterium,g__Sphingobacterium;p__Bacteroidota
g__Sphingobium,g__Sphingobium;p__Pseudomonadota
g__Sphingomonas,g__Sphingomonas;p__Pseudomonadota
g__Sphingopyxis,g__Sphingopyxis;p__Pseudomonadota
g__Spiribacter,g__Spiribacter;p__Pseudomonadota
g__Spirochaeta,g__Spirochaeta;p__Spirochaetota
g__Spirosoma,g__Spirosoma;p__Bacteroidota
g__Spirulina,g__Spirulina;p__Cyanobacteriota
g__Sporocytophaga,g__Sporocytophaga;p__Bacteroidota
g__Stappia,g__Stappia;p__Pseudomonadota
g__Stenotrophomonas,g__Stenotrophomonas;p__Pseudomonadota
g__Steroidobacter,g__Steroidobacter;p__Pseudomonadota
g__Sterolibacterium,g__Sterolibacterium;p__Pseudomonadota
g__Stieleria,g__Stieleria;p__Planctomycetota
g__Streptomyces,g__Streptomyces;p__Actinomycetota
g__Stutzerimonas,g__Stutzerimonas;p__Pseudomonadota
g__Stygiobacter,g__Stygiobacter;p__Ignavibacteriota
g__Sulfidibacter,g__Sulfidibacter;p__Acidobacteriota
g__Sulfitobacter,g__Sulfitobacter;p__Pseudomonadota
g__Sulfuricaulis,g__Sulfuricaulis;p__Pseudomonadota
g__Sulfuricella,g__Sulfuricella;p__Pseudomonadota
g__Sulfuriflexus,g__Sulfuriflexus;p__Pseudomonadota
g__Sulfurifustis,g__Sulfurifustis;p__Pseudomonadota
g__Sulfurimonas,g__Sulfurimonas;p__Campylobacterota
g__Sulfuritalea,g__Sulfuritalea;p__Pseudomonadota
g__Sulfurivermis,g__Sulfurivermis;p__Pseudomonadota
g__Sunxiuqinia,g__Sunxiuqinia;p__Bacteroidota
g__Symbiodinium,g__Symbiodinium;p__unclassified_d__Eukaryota
g__Symmachiella,g__Symmachiella;p__Planctomycetota
g__Symploca,g__Symploca;p__Cyanobacteriota
g__Synechococcus,g__Synechococcus;p__Cyanobacteriota
g__Tabrizicola,g__Tabrizicola;p__Pseudomonadota
g__Tahibacter,g__Tahibacter;p__Pseudomonadota
g__Taibaiella,g__Taibaiella;p__Bacteroidota
g__Tamlana,g__Tamlana;p__Bacteroidota
g__Tateyamaria,g__Tateyamaria;p__Pseudomonadota
g__Tautonia,g__Tautonia;p__Planctomycetota
g__Tenacibaculum,g__Tenacibaculum;p__Bacteroidota
g__Tepidiforma,g__Tepidiforma;p__Chloroflexota
g__Tepidisphaera,g__Tepidisphaera;p__Planctomycetota
g__Teredinibacter,g__Teredinibacter;p__Pseudomonadota
g__Terrimicrobium,g__Terrimicrobium;p__Verrucomicrobiota
g__Thalassobacter,g__Thalassobacter;p__Pseudomonadota
g__Thalassococcus,g__Thalassococcus;p__Pseudomonadota
g__Thalassospira,g__Thalassospira;p__Pseudomonadota
g__Thalassotalea,g__Thalassotalea;p__Pseudomonadota
g__Thalassovita,g__Thalassovita;p__Pseudomonadota
g__Thauera,g__Thauera;p__Pseudomonadota
g__Thermaerobacter,g__Thermaerobacter;p__Bacillota
g__Thermalbibacter,g__Thermalbibacter;p__Thermomicrobiota
g__Thermanaerothrix,g__Thermanaerothrix;p__Chloroflexota
g__Thermoanaerobaculum,g__Thermoanaerobaculum;p__Acidobacteriota
g__Thermoflexus,g__Thermoflexus;p__Chloroflexota
g__Thermoleophilum,g__Thermoleophilum;p__Actinomycetota
g__Thermomicrobium,g__Thermomicrobium;p__Thermomicrobiota
g__Thermomonas,g__Thermomonas;p__Pseudomonadota
g__Thioalbus,g__Thioalbus;p__Pseudomonadota
g__Thioalkalivibrio,g__Thioalkalivibrio;p__Pseudomonadota
g__Thiobacillus,g__Thiobacillus;p__Pseudomonadota
g__Thiocapsa,g__Thiocapsa;p__Pseudomonadota
g__Thioclava,g__Thioclava;p__Pseudomonadota
g__Thiocystis,g__Thiocystis;p__Pseudomonadota
g__Thiogranum,g__Thiogranum;p__Pseudomonadota
g__Thiohalobacter,g__Thiohalobacter;p__Pseudomonadota
g__Thiohalocapsa,g__Thiohalocapsa;p__Pseudomonadota
g__Thiohalomonas,g__Thiohalomonas;p__Pseudomonadota
g__Thiohalophilus,g__Thiohalophilus;p__Pseudomonadota
g__Thiohalorhabdus,g__Thiohalorhabdus;
g__Thiolapillus,g__Thiolapillus;p__Pseudomonadota
g__Thiomargarita,g__Thiomargarita;p__Pseudomonadota
g__Thioploca,g__Thioploca;p__Pseudomonadota
g__Thiosulfatihalobacter,g__Thiosulfatihalobacter;p__Pseudomonadota
g__Thiothrix,g__Thiothrix;p__Pseudomonadota
g__Tichowtungia,g__Tichowtungia;p__Kiritimatiellota
g__Tritonibacter,g__Tritonibacter;p__Pseudomonadota
g__Tropicibacter,g__Tropicibacter;p__Pseudomonadota
g__Tropicimonas,g__Tropicimonas;p__Pseudomonadota
g__Truepera,g__Truepera;p__Deinococcota
g__Tunicatimonas,g__Tunicatimonas;p__Bacteroidota
g__Turneriella,g__Turneriella;p__Spirochaetota
g__Ulvibacter,g__Ulvibacter;p__Bacteroidota
g__unclassified_c__Actinomycetes,g__unclassified_c__Actinomycetes;p__Actinomycetota
g__unclassified_c__Candidatus_Binatia,g__unclassified_c__Candidatus_Binatia;p__Candidatus_Binatota
g__unclassified_c__Candidatus_Krumholzibacteria,g__unclassified_c__Candidatus_Krumholzibacteria;p__Candidatus_Krumholzibacteriota
g__unclassified_c__Candidatus_Sumerlaeia,g__unclassified_c__Candidatus_Sumerlaeia;p__Candidatus_Sumerlaeota
g__unclassified_c__Caudoviricetes,g__unclassified_c__Caudoviricetes;p__Uroviricota
g__unclassified_c__Deltaproteobacteria,g__unclassified_c__Deltaproteobacteria;p__unclassified_d__Bacteria
g__unclassified_c__Gammaproteobacteria,g__unclassified_c__Gammaproteobacteria;p__Pseudomonadota
g__unclassified_c__Halobacteria,g__unclassified_c__Halobacteria;p__Euryarchaeota
g__unclassified_c__Thermoplasmata,g__unclassified_c__Thermoplasmata;p__Candidatus_Thermoplasmatota
g__unclassified_d__Archaea,g__unclassified_d__Archaea;p__unclassified_d__Archaea
g__unclassified_d__Viruses,g__unclassified_d__Viruses;p__unclassified_d__Viruses
g__unclassified_o__Candidatus_Obscuribacterales,g__unclassified_o__Candidatus_Obscuribacterales;p__Candidatus_Melainabacteria
g__unclassified_o__Methanophagales,g__unclassified_o__Methanophagales;p__Euryarchaeota
g__unclassified_o__Methanosarcinales,g__unclassified_o__Methanosarcinales;p__Euryarchaeota
g__unclassified_p__Candidatus_Abyssubacteria,g__unclassified_p__Candidatus_Abyssubacteria;p__Candidatus_Abyssubacteria
g__unclassified_p__Candidatus_Aenigmarchaeota,g__unclassified_p__Candidatus_Aenigmarchaeota;p__Candidatus_Aenigmarchaeota
g__unclassified_p__Candidatus_Aminicenantes,g__unclassified_p__Candidatus_Aminicenantes;p__Candidatus_Aminicenantes
g__unclassified_p__Candidatus_Auribacterota,g__unclassified_p__Candidatus_Auribacterota;p__Candidatus_Auribacterota
g__unclassified_p__Candidatus_Bathyarchaeota,g__unclassified_p__Candidatus_Bathyarchaeota;p__Candidatus_Bathyarchaeota
g__unclassified_p__Candidatus_Binatota,g__unclassified_p__Candidatus_Binatota;p__Candidatus_Binatota
g__unclassified_p__Candidatus_Bipolaricaulota,g__unclassified_p__Candidatus_Bipolaricaulota;p__Candidatus_Bipolaricaulota
g__unclassified_p__Candidatus_Cloacimonadota,g__unclassified_p__Candidatus_Cloacimonadota;p__Candidatus_Cloacimonadota
g__unclassified_p__Candidatus_Coatesbacteria,g__unclassified_p__Candidatus_Coatesbacteria;p__Candidatus_Coatesbacteria
g__unclassified_p__Candidatus_Dadabacteria,g__unclassified_p__Candidatus_Dadabacteria;p__Candidatus_Dadabacteria
g__unclassified_p__Candidatus_Delongbacteria,g__unclassified_p__Candidatus_Delongbacteria;p__Candidatus_Delongbacteria
g__unclassified_p__Candidatus_Dormibacteraeota,g__unclassified_p__Candidatus_Dormibacteraeota;p__Candidatus_Dormibacteraeota
g__unclassified_p__Candidatus_Eisenbacteria,g__unclassified_p__Candidatus_Eisenbacteria;p__Candidatus_Eisenbacteria
g__unclassified_p__Candidatus_Eremiobacterota,g__unclassified_p__Candidatus_Eremiobacterota;p__Candidatus_Eremiobacterota
g__unclassified_p__Candidatus_Falkowbacteria,g__unclassified_p__Candidatus_Falkowbacteria;p__Candidatus_Falkowbacteria
g__unclassified_p__Candidatus_Fraserbacteria,g__unclassified_p__Candidatus_Fraserbacteria;p__Candidatus_Fraserbacteria
g__unclassified_p__Candidatus_Gracilibacteria,g__unclassified_p__Candidatus_Gracilibacteria;p__Candidatus_Gracilibacteria
g__unclassified_p__Candidatus_Handelsmanbacteria,g__unclassified_p__Candidatus_Handelsmanbacteria;p__Candidatus_Handelsmanbacteria
g__unclassified_p__Candidatus_Heimdallarchaeota,g__unclassified_p__Candidatus_Heimdallarchaeota;p__Candidatus_Heimdallarchaeota
g__unclassified_p__Candidatus_Hydrogenedentes,g__unclassified_p__Candidatus_Hydrogenedentes;p__Candidatus_Hydrogenedentes
g__unclassified_p__Candidatus_Jorgensenbacteria,g__unclassified_p__Candidatus_Jorgensenbacteria;p__Candidatus_Jorgensenbacteria
g__unclassified_p__Candidatus_Kaiserbacteria,g__unclassified_p__Candidatus_Kaiserbacteria;p__Candidatus_Kaiserbacteria
g__unclassified_p__Candidatus_Kapabacteria,g__unclassified_p__Candidatus_Kapabacteria;p__Candidatus_Kapabacteria
g__unclassified_p__Candidatus_Krumholzibacteriota,g__unclassified_p__Candidatus_Krumholzibacteriota;p__Candidatus_Krumholzibacteriota
g__unclassified_p__Candidatus_Latescibacteria,g__unclassified_p__Candidatus_Latescibacteria;p__Candidatus_Latescibacteria
g__unclassified_p__Candidatus_Lokiarchaeota,g__unclassified_p__Candidatus_Lokiarchaeota;p__Candidatus_Lokiarchaeota
g__unclassified_p__Candidatus_Marinimicrobia,g__unclassified_p__Candidatus_Marinimicrobia;p__Candidatus_Marinimicrobia
g__unclassified_p__Candidatus_Microgenomates,g__unclassified_p__Candidatus_Microgenomates;p__Candidatus_Microgenomates
g__unclassified_p__Candidatus_Moranbacteria,g__unclassified_p__Candidatus_Moranbacteria;p__Candidatus_Moranbacteria
g__unclassified_p__Candidatus_Nealsonbacteria,g__unclassified_p__Candidatus_Nealsonbacteria;p__Candidatus_Nealsonbacteria
g__unclassified_p__Candidatus_Nomurabacteria,g__unclassified_p__Candidatus_Nomurabacteria;p__Candidatus_Nomurabacteria
g__unclassified_p__Candidatus_Omnitrophota,g__unclassified_p__Candidatus_Omnitrophota;p__Candidatus_Omnitrophota
g__unclassified_p__Candidatus_Pacebacteria,g__unclassified_p__Candidatus_Pacebacteria;p__Candidatus_Pacebacteria
g__unclassified_p__Candidatus_Parcubacteria,g__unclassified_p__Candidatus_Parcubacteria;p__Candidatus_Parcubacteria
g__unclassified_p__Candidatus_Peregrinibacteria,g__unclassified_p__Candidatus_Peregrinibacteria;p__Candidatus_Peregrinibacteria
g__unclassified_p__Candidatus_Poribacteria,g__unclassified_p__Candidatus_Poribacteria;p__Candidatus_Poribacteria
g__unclassified_p__Candidatus_Riflebacteria,g__unclassified_p__Candidatus_Riflebacteria;p__Candidatus_Riflebacteria
g__unclassified_p__Candidatus_Rokubacteria,g__unclassified_p__Candidatus_Rokubacteria;p__Candidatus_Rokubacteria
g__unclassified_p__Candidatus_Saccharibacteria,g__unclassified_p__Candidatus_Saccharibacteria;p__Candidatus_Saccharibacteria
g__unclassified_p__Candidatus_Schekmanbacteria,g__unclassified_p__Candidatus_Schekmanbacteria;p__Candidatus_Schekmanbacteria
g__unclassified_p__Candidatus_Sumerlaeota,g__unclassified_p__Candidatus_Sumerlaeota;p__Candidatus_Sumerlaeota
g__unclassified_p__Candidatus_Tectomicrobia,g__unclassified_p__Candidatus_Tectomicrobia;p__Candidatus_Tectomicrobia
g__unclassified_p__Candidatus_Uhrbacteria,g__unclassified_p__Candidatus_Uhrbacteria;p__Candidatus_Uhrbacteria
g__unclassified_p__Candidatus_Woesearchaeota,g__unclassified_p__Candidatus_Woesearchaeota;p__Candidatus_Woesearchaeota
g__unclassified_p__Candidatus_Woesebacteria,g__unclassified_p__Candidatus_Woesebacteria;p__Candidatus_Woesebacteria
g__unclassified_p__Candidatus_Wolfebacteria,g__unclassified_p__Candidatus_Wolfebacteria;p__Candidatus_Wolfebacteria
g__unclassified_p__Cyanobacteriota,g__unclassified_p__Cyanobacteriota;p__Cyanobacteriota
g__unclassified_p__Euryarchaeota,g__unclassified_p__Euryarchaeota;p__Euryarchaeota
g__unclassified_p__Nanoarchaeota,g__unclassified_p__Nanoarchaeota;p__Nanoarchaeota
g__unclassified_p__Nitrososphaerota,g__unclassified_p__Nitrososphaerota;p__Nitrososphaerota
g__Urechidicola,g__Urechidicola;p__Bacteroidota
g__Vannielia,g__Vannielia;p__Pseudomonadota
g__Variovorax,g__Variovorax;p__Pseudomonadota
g__Verrucomicrobium,g__Verrucomicrobium;p__Verrucomicrobiota
g__Vibrio,g__Vibrio;p__Pseudomonadota
g__Vicingus,g__Vicingus;p__Bacteroidota
g__Wenzhouxiangella,g__Wenzhouxiangella;p__Pseudomonadota
g__Winogradskyella,g__Winogradskyella;p__Bacteroidota
g__Woeseia,g__Woeseia;p__Pseudomonadota
g__Xanthomarina,g__Xanthomarina;p__Bacteroidota
g__Yeosuana,g__Yeosuana;p__Bacteroidota
g__Yoonia,g__Yoonia;p__Pseudomonadota
Unclassified,Unclassified;
