Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Jannaschia,0.000353875,0.000274907,0.000338523,0.000242353,0.000254356,0.000195931
g__Jatrophihabitans,0.000173324,0.000127415,5.17E-05,6.12E-05,0.000108174,7.01E-05
g__Jhaorihella,0.001194578,0.000972766,0.001014167,0.001153121,0.001075895,0.000866777
g__Jiangella,0.000225881,0.000170493,6.75E-05,8.14E-05,0.000149267,8.19E-05
g__Kallotenue,0.000174008,0.000117021,7.31E-05,7.68E-05,9.52E-05,7.25E-05
g__Kamptonema,9.87E-05,7.75E-05,4.77E-05,4.83E-05,7.31E-05,4.99E-05
g__Kangiella,0.018440092,0.015996371,0.00079884,0.000690882,0.004820129,0.003994709
g__Ketobacter,0.000251026,0.000179504,0.000131378,0.00013698,0.00017022,0.000147625
g__Kiritimatiella,0.00021194,0.000171481,1.08E-05,1.11E-05,0.000329598,0.000145453
g__Kordia,0.000497691,0.00059961,0.000127477,0.000130403,0.000503311,0.000240238
g__Kordiimonas,0.000177515,0.000129984,0.000165284,0.000231632,0.000206319,0.000249153
g__Kouleothrix,0.000945262,0.00058973,0.000408758,0.000407695,0.000491251,0.000368548
g__Kribbella,0.000203644,0.000149468,6.66E-05,7.37E-05,0.000138466,8.71E-05
g__Ktedonobacter,0.000407672,0.000279175,0.000169565,0.000175892,0.000217851,0.000153416
g__Labilibaculum,0.00020266,0.000267635,6.56E-05,8.15E-05,0.00023791,0.000111242
g__Labilithrix,0.000412846,0.00037035,0.000292495,0.000159575,0.000320462,0.000258677
g__Lacinutrix,0.000560854,0.000683434,0.000206879,0.000131043,0.000667765,0.000286411
g__Leeuwenhoekiella,0.000297426,0.000395327,0.000200212,0.000166666,0.00035786,0.000261153
g__Legionella,0.000141764,0.000161522,0.000151987,0.000121561,0.000152719,0.000128081
g__Leisingera,0.000649718,0.00053527,0.000595219,0.000450621,0.000501971,0.000380853
g__Lentibacter,0.00106389,0.0008495,0.001690191,0.000824189,0.000801277,0.000707075
g__Lentimicrobium,0.001059272,0.001278025,0.00018146,0.000260592,0.000863729,0.000418378
g__Leptolinea,0.000147708,9.75E-05,6.88E-05,7.47E-05,7.71E-05,6.09E-05
g__Leptolyngbya,0.003971092,0.003022118,0.00166265,0.001435581,0.001783941,0.001354948
g__Leptospira,0.000189574,0.000286803,8.20E-05,0.000113061,0.000164251,0.000137072
g__Levilinea,0.000226266,0.000145437,0.000104974,0.000108662,0.000110854,8.39E-05
g__Lewinella,0.000393603,0.000685765,8.27E-05,9.11E-05,0.000537826,0.000209227
g__Lignipirellula,0.000271767,0.000264829,0.000109861,8.67E-05,0.00014878,9.52E-05
g__Limibaculum,0.000302942,0.000232382,0.000228927,0.000220954,0.000164373,0.000129453
g__Limimaricola,0.000199966,0.000168359,0.00022692,0.000129036,0.00014541,0.000113604
g__Limnohabitans,0.000130944,0.000154685,0.000167633,0.000185972,0.000214278,0.000147282
g__Litoreibacter,0.00057518,0.000446625,0.000423381,0.000267511,0.000372275,0.000271782
g__Litorilinea,0.001565815,0.000963518,0.000630488,0.00060379,0.000762092,0.000575299
g__Litorimonas,7.72E-05,8.42E-05,9.49E-05,7.91E-05,7.56E-05,5.49E-05
g__Litorivita,0.000187607,0.000161205,0.000245672,0.000138902,0.000142324,0.000127091
g__Loktanella,0.000383168,0.000295695,0.00040122,0.000237697,0.000247615,0.000199855
g__Longilinea,0.000339506,0.000218629,0.000149865,0.000149837,0.000163926,0.000133834
g__Longimicrobium,0.000293705,0.000220329,7.79E-05,8.12E-05,0.000243473,0.000157568
g__Lujinxingia,0.000718697,0.000618817,7.38E-05,3.32E-05,0.001872178,0.001730773
g__Luteimonas,0.000212196,0.000176579,0.000120014,0.000127968,0.000183701,0.000141453
g__Luteirhabdus,0.000321245,0.000278148,7.53E-05,5.89E-05,0.000242661,6.65E-05
g__Luteitalea,0.000557133,0.000472274,0.000433875,0.000528188,0.000588908,0.000409845
g__Luteithermobacter,0.003733537,0.002003666,0.004284044,0.006740014,0.004926151,0.007409395
g__Luteolibacter,0.0001906,0.000185116,2.78E-05,3.08E-05,0.000278516,0.000140425
g__Lutibacter,0.00086401,0.001286403,0.000485282,0.000548306,0.001270682,0.000791536
g__Lutimaribacter,0.000764968,0.000621821,0.000836988,0.000569235,0.000562068,0.000475714
g__Lysobacter,0.000456979,0.000394418,0.000601166,0.000652995,0.000478216,0.000560898
g__Magnetospirillum,0.000192397,0.000155514,0.000152555,0.000184093,0.00015414,0.000118862
g__Magnetovibrio,0.000145655,0.000134766,0.000136455,0.000142234,0.000121899,9.11E-05
g__Maioricimonas,0.000111144,9.98E-05,5.47E-05,5.77E-05,9.45E-05,5.50E-05
g__Maliponia,0.000137102,0.000127968,0.000122741,8.92E-05,0.000110326,8.37E-05
g__Mameliella,0.000374145,0.000312847,0.000353714,0.000256833,0.000280465,0.000217647
g__Mangrovimonas,0.000286521,0.000329959,0.000120279,0.000123526,0.000328705,0.000175169
g__Maribacter,0.002745425,0.003028204,0.000971208,0.000810819,0.002194224,0.001228353
g__Maribellus,0.000224042,0.000341025,0.000117816,0.000135186,0.000326147,0.00020096
g__Marimonas,0.009454843,0.007330046,0.016833263,0.008599777,0.007228874,0.006476635
g__Marinibacterium,0.000155619,0.000131525,0.00015695,0.000123782,0.000109717,9.61E-05
g__Mariniblastus,0.000190985,0.000164486,8.44E-05,8.03E-05,0.000148212,8.95E-05
g__Marinicaulis,0.000218354,0.000151997,0.000116566,0.000123355,9.22E-05,0.000113262
g__Marinicella,0.069127968,0.069252701,0.118668201,0.109288185,0.111220021,0.111188892
g__Marinifilum,0.000168363,0.000217009,7.65E-05,9.66E-05,0.000199091,0.000102518
g__Mariniflexile,0.000300334,0.000402638,0.000148312,9.56E-05,0.000329192,0.000210637
g__Mariniphaga,0.000415926,0.000618738,0.00016248,0.000218007,0.000583751,0.000312127
g__Marinirhabdus,0.000666139,0.000553805,0.000154677,0.000113745,0.000436798,0.000123738
g__Marinobacter,0.001872392,0.001721013,0.007953057,0.011275699,0.004013695,0.007466159
g__Marinobacterium,0.000132911,0.000108248,0.000108573,0.000130702,0.000125716,0.000130367
g__Marinomonas,5.22E-05,5.69E-05,0.000224116,0.000257345,6.47E-05,0.000203703
g__Marinoscillum,0.00018239,0.000277239,5.49E-05,5.36E-05,0.000254153,0.000121414
g__Marinosulfonomonas,0.000457749,0.000326798,0.000176118,0.000120878,0.000227271,0.000117338
g__Marinovum,0.000452703,0.000349325,0.00050142,0.00033944,0.000308565,0.000259629
g__Maritimibacter,0.002406732,0.001721251,0.001957721,0.000959802,0.00137106,0.001359558
g__Marivirga,0.000207535,0.000314665,5.14E-05,7.44E-05,0.000250985,0.000166749
g__Marivita,0.00093611,0.000784251,0.001086107,0.000593581,0.000697285,0.00060029
g__Marixanthomonas,0.002174265,0.002297978,0.000507178,0.000397017,0.001526906,0.000520249
g__Marmoricola,0.000155705,0.000119827,4.87E-05,5.90E-05,0.000111138,5.80E-05
g__Massilia,0.000182475,0.000164486,0.000316702,0.00036921,0.000207293,0.000231438
g__Meiothermus,0.000139069,9.97E-05,6.05E-05,6.58E-05,8.93E-05,6.29E-05
g__Melioribacter,0.005900104,0.006319696,0.00465848,0.005963877,0.005516602,0.003133228
g__Membranihabitans,0.00725569,0.011585847,0.002839336,0.003777146,0.012107679,0.005301351
g__Mesobacterium,0.000520784,0.000426114,0.000441603,0.000372286,0.000392538,0.00033868
g__Mesoflavibacter,0.000173195,0.000221277,6.68E-05,4.45E-05,0.00022382,9.56E-05
g__Mesonia,0.000390481,0.000551316,0.000184491,0.00142375,0.000522152,0.000299974
g__Mesorhizobium,0.000912547,0.000620161,0.00054866,0.000538653,0.00057965,0.000457808
g__Methanosarcina,0.000125171,9.87E-05,5.87E-05,7.15E-05,8.55E-05,7.88E-05
g__Methanothrix,0.000151856,0.000112397,7.62E-05,7.97E-05,0.0001005,7.38E-05
g__Methylobacter,0.000189232,0.000174405,0.000186877,0.000178497,0.000222764,0.000153911
g__Methylobacterium,0.000184357,0.00012619,8.35E-05,9.52E-05,0.000127462,9.78E-05
g__Methylocaldum,0.000170031,0.000118958,0.0001224,0.000148427,0.000126488,0.000115471
g__Methyloceanibacter,0.000146682,0.000114887,0.000119976,0.000123611,0.000110448,0.000107738
g__Methylohalomonas,0.000415327,0.000372919,0.000639845,0.000848919,0.000435377,0.000677931
g__Methylomicrobium,5.15E-05,6.15E-05,0.000250521,0.00027789,8.95E-05,0.000215247
g__Methylomonas,0.000135349,0.000118997,0.000107361,0.000123654,0.000130954,0.000110366
g__Methylophaga,0.000260905,0.000224478,0.000540743,0.000651586,0.000265563,0.000554612
g__Methyloprofundus,8.02E-05,8.75E-05,9.36E-05,8.98E-05,0.000137208,8.75E-05
g__Micavibrio,0.000373674,0.000385368,0.00038796,0.000408378,0.000357698,0.000264696
g__Microbacterium,0.000482894,0.000348732,0.000171572,0.000148171,0.000325132,0.000191398
g__Microbulbifer,0.000473615,0.000388766,0.000305565,0.000366092,0.000395299,0.000397006
g__Microcoleus,0.00016182,0.000124451,7.42E-05,7.92E-05,0.000112194,8.00E-05
g__Micromonospora,0.000540626,0.000394339,0.000163428,0.000186954,0.000362977,0.000208351
g__Microvenator,0.000444578,0.000431528,4.73E-05,2.59E-05,0.001045887,0.000980534
g__Microvirga,0.000212282,0.00017729,0.00017089,0.000160173,0.000177245,0.000143396
g__Minicystis,0.000212068,0.000275025,0.000406144,0.000148684,0.000158647,0.000143053
g__Modestobacter,0.00028156,0.000220487,5.92E-05,6.54E-05,0.000186625,9.27E-05
g__Motiliproteus,0.000104516,6.69E-05,9.98E-05,0.00013194,9.45E-05,9.52E-05
g__Mucilaginibacter,0.000307433,0.000513297,6.89E-05,0.000146035,0.000413572,0.000300088
g__Mucisphaera,0.000173452,1.00E-04,5.14E-05,7.95E-05,0.000319082,6.57E-05
g__Muriiphilus,0.020893864,0.019796141,0.021109655,0.017935925,0.019070625,0.015201167
g__Mycobacterium,0.001017491,0.000742952,0.000282115,0.000323721,0.00066139,0.000357995
g__Mycolicibacterium,0.00052506,0.00038351,0.00013547,0.000159789,0.000351363,0.00017475
