source,target,weight
ASV1459,ASV2875,0.999976808
ASV1459,ASV44,0.694271268
ASV1459,ASV5219,0.999941748
ASV1459,ASV1619,0.639022241
ASV1459,ASV378,-0.775932256
ASV1459,ASV17,-0.777794369
ASV1459,ASV377,-0.963678103
ASV1459,ASV381,-0.779930424
ASV1459,ASV379,0.868448951
ASV1459,ASV51,0.714020051
ASV1459,ASV47,0.816640451
ASV1459,ASV5,0.6592459
ASV1459,ASV203,0.736975948
ASV1459,ASV63,0.71661885
ASV1459,ASV6,0.63314285
ASV1459,ASV32,0.7305921
ASV1459,ASV408,-0.792215738
ASV1459,ASV395,0.675744877
ASV1459,ASV38,0.620565634
ASV1459,ASV411,0.639261635
ASV1459,ASV401,-0.786667684
ASV1459,ASV7,-0.988436381
ASV1459,ASV18,0.606137612
ASV1459,ASV16,0.630777438
ASV1459,ASV400,-0.793267063
ASV1459,ASV384,-0.941831935
ASV2875,ASV44,0.694671842
ASV2875,ASV5219,0.999992067
ASV2875,ASV378,-0.772032714
ASV2875,ASV377,-0.965117211
ASV2875,ASV381,-0.776035219
ASV2875,ASV379,0.86551607
ASV2875,ASV51,0.70959563
ASV2875,ASV47,0.812971908
ASV2875,ASV5,0.654713372
ASV2875,ASV63,0.711890385
ASV2875,ASV6,0.627874812
ASV2875,ASV32,0.726026642
ASV2875,ASV408,-0.78815793
ASV2875,ASV395,0.670735568
ASV2875,ASV38,0.615395587
ASV2875,ASV411,0.634111146
ASV2875,ASV401,-0.782633129
ASV2875,ASV7,-0.989241359
ASV2875,ASV400,-0.789163404
ASV2875,ASV384,-0.944040971
ASV380,ASV44,0.667092101
ASV380,ASV382,-0.859782008
ASV380,ASV385,-0.959664012
ASV380,ASV865,-0.853019626
ASV44,ASV5219,0.694891184
ASV44,ASV51,0.617075483
ASV44,ASV47,0.6557441
ASV44,ASV5,0.649369761
ASV44,ASV69,-0.812183902
ASV44,ASV7,-0.754837815
ASV44,ASV486,-0.836115858
ASV5219,ASV63,0.709109636
ASV5219,ASV6,0.624780299
ASV5219,ASV7,-0.989690885
ASV1619,ASV2875,0.636176066
ASV1619,ASV380,0.777781862
ASV1619,ASV44,0.642114024
ASV1619,ASV5219,0.634497802
ASV1619,ASV23,0.991300587
ASV1619,ASV27,0.779077481
ASV1619,ASV379,0.873538162
ASV1619,ASV51,0.724231554
ASV1619,ASV77,0.838193684
ASV1619,ASV47,0.783183578
