ASV,degree,betweenness,closeness,eigenvector,Zi,Pi,Role,RF_Importance,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,is_keystone,module
ASV15,0.45,0.010385496721670806,0.2831649831649832,0.18678726190477976,0.48911598804451906,0.1,Peripheral,0.023613963039014373,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,g__unclassified_f__Paracoccaceae,s__unclassified_f__Paracoccaceae,False,1
ASV411,0.48333333333333334,0.005219430854155069,0.2846023688663283,0.19816557269928195,0.48911598804451906,0.15625,Peripheral,0.02997946611909651,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,g__unclassified_f__Paracoccaceae,s__unclassified_f__Paracoccaceae,False,1
ASV401,0.2,0.11267879562371082,0.22699055330634277,2.4147394525981763e-06,1.1885007614408598,0.0,Peripheral,0.002053388090349076,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,MBAE14,g__norank_f__MBAE14,s__uncultured_bacterium_f__MBAE14,False,2
ASV10,0.4666666666666667,0.004274157044220348,0.2514200298953662,0.1886749497359101,0.48911598804451906,0.1,Peripheral,0.025410677618069814,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_,f__norank_o__Gammaproteobacteria_,Wenzhouxiangella,s__unclassified_g__Wenzhouxiangella,False,1
ASV3,0.2,0.03227871939736347,0.2336111111111111,0.07510892231307387,0,0.16666666666666666,Peripheral,0.006365503080082136,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,g__unclassified_f__Flavobacteriaceae,s__unclassified_f__Flavobacteriaceae,False,1
ASV7,0.15,0.07647423825389923,0.22426666666666667,1.8828279783392766e-06,1.2857812273375167,0.0,Peripheral,0.013347022587268994,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,s__uncultured_bacterium_g__Vicingus,False,2
ASV18,0.43333333333333335,0.0031510275889487646,0.24918518518518518,0.17764804146921198,0.48911598804451906,0.15625,Peripheral,0.022587268993839837,Bacteria,k__norank_d__Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,s__unclassified_g__Acidiferrimicrobium,False,1
ASV16,0.4666666666666667,0.004274157044220348,0.2514200298953662,0.1886749497359101,0.48911598804451906,0.12903225806451613,Peripheral,0.01724845995893224,Bacteria,k__norank_d__Bacteria,Actinomycetota,Acidimicrobiia,Actinomarinales,f__norank_o__Actinomarinales,g__norank_o__Actinomarinales,s__unclassified_g__norank_o__Actinomarinales,False,1
ASV4,0.43333333333333335,0.006200066990722419,0.2817420435510888,0.1805250614354172,0.48911598804451906,0.12903225806451613,Peripheral,0.030544147843942507,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aequorivita,s__unclassified_g__Aequorivita,False,1
ASV400,0.18333333333333332,0.10599497802887628,0.2260752688172043,2.3167021397330266e-06,1.3195138314049746,0.0,Peripheral,0.012662559890485968,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,g__unclassified_f__Paracoccaceae,s__unclassified_f__Paracoccaceae,False,2
ASV384,0.03333333333333333,0.0,0.18382513661202185,4.091394807945458e-07,1.1111677990074318,0.05555555555555555,Peripheral,0.014373716632443531,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,g__unclassified_f__Paracoccaceae,s__unclassified_f__Paracoccaceae,False,2
ASV12,0.25,0.0006163328197226504,0.23656821378340367,0.10471034328620357,0.38313051408846094,0.1724137931034483,Peripheral,0.018480492813141684,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,g__unclassified_f__Flavobacteriaceae,s__unclassified_f__Flavobacteriaceae,False,1
ASV144,0.15,0.05615607948235064,0.19603729603729603,1.4294948774400004e-06,1.5697655310668526,0.0,Module Hub,0.017453798767967144,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,g__norank_f__Cryomorphaceae,s__metagenome_f__Cryomorphaceae,True,2
ASV260,0.13333333333333333,0.02395268965184219,0.19535423925667827,1.4114542020826965e-06,1.2170692492362616,0.0,Peripheral,0.01642710472279261,Bacteria,k__norank_d__Bacteria,Thermodesulfobacteriota,Desulfuromonadia,PB19,f__norank_o__PB19,g__norank_o__PB19,s__unclassified_g__norank_o__PB19,False,2
ASV13,0.13333333333333333,0.043906031194166764,0.19535423925667827,1.1611734715370062e-06,1.5697655310668526,0.0,Module Hub,0.019164955509924708,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Kangiella,s__unclassified_g__Kangiella,True,2
ASV486,0.13333333333333333,0.02395268965184219,0.19535423925667827,1.4114542020826965e-06,1.5697655310668526,0.0,Module Hub,0.006160164271047228,Bacteria,k__norank_d__Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Bradymonadales,f__norank_o__Bradymonadales,g__norank_o__Bradymonadales,s__uncultured_delta_proteobacterium_o__Bradymonadales,False,2
ASV268,0.13333333333333333,0.02395268965184219,0.19535423925667827,1.4114542020826965e-06,1.5697655310668526,0.0,Module Hub,0.01642710472279261,Bacteria,k__norank_d__Bacteria,Sumerlaeota,Sumerlaeia,o__norank_c__Sumerlaeia,f__norank_c__Sumerlaeia,g__norank_c__Sumerlaeia,s__uncultured_organism_c__Sumerlaeia,False,2
ASV734,0.0,0.0,0.0,2.943135980641573e-17,0.7071067811865469,0.5,Peripheral,0.0023100616016427105,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,s__unclassified_g__Alcanivorax,False,0
ASV382,0.11666666666666667,0.0014305374474866,0.16887550200803214,9.734836733103137e-07,1.0347929552219566,0.07692307692307693,Peripheral,0.009240246406570842,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,g__norank_f__Cryomorphaceae,s__metagenome_f__Cryomorphaceae,False,2
ASV385,0.05,0.0,0.16490196078431374,3.739281468282556e-07,1.2027029828451612,0.29411764705882354,Peripheral,0.050308008213552365,Bacteria,k__norank_d__Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Kangiellaceae,Kangiella,Kangiella_sp._YZHG-G18,False,2
ASV4146,0.03333333333333333,0.0,0.14525043177892918,1.3602123346794187e-07,0.6546536707079766,0.0,Peripheral,0.002053388090349076,Bacteria,k__norank_d__Bacteria,Thermodesulfobacteriota,Desulfuromonadia,PB19,f__norank_o__PB19,g__norank_o__PB19,uncultured_bacterium_GR-WP33-58,False,2
ASV4147,0.03333333333333333,0.0,0.14525043177892918,1.3602123346794187e-07,0.6546536707079766,0.0,Peripheral,0.003080082135523614,Bacteria,k__norank_d__Bacteria,Thermodesulfobacteriota,Desulfuromonadia,PB19,f__norank_o__PB19,g__norank_o__PB19,uncultured_bacterium_GR-WP33-58,False,2
ASV865,0.15,0.06470737360567869,0.16989898989898988,1.002591967552369e-06,1.0347929552219566,0.07692307692307693,Peripheral,0.02053388090349076,Bacteria,k__norank_d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,s__uncultured_Owenweeksia_sp._g__Vicingus,False,2
